name,username,password,employee_type
Matthew Scott,mscott72,RandomPass!169,SiteAdministrator
Laura King,lking73,RandomPass!170,SiteAdministrator
William Green,wgreen74,RandomPass!171,SiteAdministrator
Helen Brown,hbrown75,RandomPass!172,SiteAdministrator
Olivia Black,oblack76,RandomPass!173,DataAdministrator
Peter Davis,pdavis77,RandomPass!174,DataAdministrator
Mary Johnson,mjohnson78,RandomPass!175,DataAdministrator
Lucy Wilson,lwilson79,RandomPass!176,DataAdministrator
Barbara Green,bgreen80,RandomPass!177,DataAdministrator
Frank Clark,fclark81,RandomPass!178,DataAdministrator
James Thomas,jthomas82,RandomPass!179,DataAdministrator
Karen Lee,klee83,RandomPass!180,DataAdministrator
Nancy Baker,nbaker84,RandomPass!181,DataAdministrator
George Young,gyoung85,RandomPass!182,DataAdministrator
Robert White,rwhite86,RandomPass!183,DataAdministrator
Maria Evans,mevans87,RandomPass!184,DataAdministrator
Stephen Scott,sscott88,RandomPass!185,DataAdministrator
Laura Wilson,lwilson89,RandomPass!186,DataAdministrator
Joseph Clark,jclark90,RandomPass!187,TenantAdministrator
Thomas Adams,tadams91,RandomPass!188,TenantAdministrator
Rachel Moore,rmoore92,RandomPass!189,TenantAdministrator
Patricia Young,pyoung93,RandomPass!190,TenantAdministrator
George Walker,gwalker94,RandomPass!191,TenantAdministrator
Alice Green,agreen95,RandomPass!192,TenantAdministrator
Daniel Lee,dlee96,RandomPass!193,TenantAdministrator
David White,dwhite97,RandomPass!194,TenantAdministrator
Brian Adams,badams98,RandomPass!195,TenantAdministrator
Jennifer King,jking99,RandomPass!196,TenantAdministrator
William Brown,wbrown100,RandomPass!197,DeptChair
Karen Davis,kdavis101,RandomPass!198,DeptChair
Mary Clark,mclark102,RandomPass!199,DeptChair
Rachel Thompson,rthompson103,RandomPass!200,DeptChair
Linda Taylor,ltaylor104,RandomPass!201,DeptChair
James Lee,jlee105,RandomPass!202,DeptChair
Susan Walker,swalker106,RandomPass!203,DeptChair
Frank Harris,fharris107,RandomPass!204,DeptChair
Karen Adams,kadams108,RandomPass!205,DeptChair
Robert Clark,rclark109,RandomPass!206,Executive
Nancy Johnson,njohnson110,RandomPass!207,Executive
Paul White,pwhite111,RandomPass!208,Executive
Elizabeth Scott,escott112,RandomPass!209,Executive
Thomas Walker,twalker113,RandomPass!210,Executive
Karen Moore,kmoore114,RandomPass!211,Executive
James Brown,jbrown115,RandomPass!212,Executive
Robert Green,rgreen116,RandomPass!213,Executive
Susan Lee,slee117,RandomPass!214,Executive
Brian Evans,bevans118,RandomPass!215,Executive
